regName;year;physMinBall100
Вінницька область;2020;116
Вінницька область;2021;109
Волинська область;2020;132
Волинська область;2021;113
Дніпропетровська область;2020;106
Дніпропетровська область;2021;124
Донецька область;2020;113
Донецька область;2021;113
Житомирська область;2020;100
Житомирська область;2021;109
Закарпатська область;2021;113
Запорізька область;2020;100
Запорізька область;2021;109
Івано-Франківська область;2021;103
Київська область;2020;129
Київська область;2021;106
Кіровоградська область;2020;106
Кіровоградська область;2021;120
Луганська область;2020;116
Львівська область;2020;151
Львівська область;2021;167
м.Київ;2020;100
м.Київ;2021;120
Миколаївська область;2020;185
Миколаївська область;2021;100
Одеська область;2020;106
Полтавська область;2021;109
Рівненська область;2020;103
Рівненська область;2021;103
Сумська область;2020;155
Сумська область;2021;116
Тернопільська область;2020;109
Харківська область;2020;132
Харківська область;2021;100
Херсонська область;2020;100
Херсонська область;2021;103
Хмельницька область;2020;140
Хмельницька область;2021;140
Черкаська область;2021;134
Чернівецька область;2021;106
Чернігівська область;2020;120
